Step 50: {'loss': 0.295, 'grad_norm': 9.46595573425293, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.0022957620676606894, 'rewards/rejected': -0.0636017769575119, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.06130601465702057, 'logps/rejected': -6.360177993774414, 'logps/chosen': -0.2295762449502945, 'logits/rejected': -0.44096553325653076, 'logits/chosen': -0.3270786702632904, 'nll_loss': 0.2923296093940735, 'log_odds_ratio': -0.27188640832901, 'log_odds_chosen': 7.651483058929443, 'epoch': 0.00747887218607434}
Step 100: {'loss': 0.2918, 'grad_norm': 11.246354103088379, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.0021143793128430843, 'rewards/rejected': -0.07365038990974426, 'rewards/accuracies': 0.625, 'rewards/margins': 0.07153601199388504, 'logps/rejected': -7.365038871765137, 'logps/chosen': -0.21143797039985657, 'logits/rejected': -0.7888698577880859, 'logits/chosen': -0.6913366913795471, 'nll_loss': 0.2891780138015747, 'log_odds_ratio': -0.2667439579963684, 'log_odds_chosen': 8.624187469482422, 'epoch': 0.01495774437214868}
Step 150: {'loss': 0.2782, 'grad_norm': 14.764063835144043, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.0019411048851907253, 'rewards/rejected': -0.07385902106761932, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 0.07191792130470276, 'logps/rejected': -7.3859028816223145, 'logps/chosen': -0.19411051273345947, 'logits/rejected': -0.9145498871803284, 'logits/chosen': -0.8105680346488953, 'nll_loss': 0.27534985542297363, 'log_odds_ratio': -0.2862861752510071, 'log_odds_chosen': 8.609477996826172, 'epoch': 0.02243661655822302}
Step 200: {'loss': 0.2838, 'grad_norm': 12.514020919799805, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.0019165645353496075, 'rewards/rejected': -0.07319515198469162, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.07127859443426132, 'logps/rejected': -7.319516658782959, 'logps/chosen': -0.1916564553976059, 'logits/rejected': -0.8936021327972412, 'logits/chosen': -0.7995733618736267, 'nll_loss': 0.28127092123031616, 'log_odds_ratio': -0.2512398660182953, 'log_odds_chosen': 8.628301620483398, 'epoch': 0.02991548874429736}
Step 250: {'loss': 0.2878, 'grad_norm': 15.379264831542969, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.0020144875161349773, 'rewards/rejected': -0.07425060868263245, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.07223612070083618, 'logps/rejected': -7.4250617027282715, 'logps/chosen': -0.2014487385749817, 'logits/rejected': -0.75616055727005, 'logits/chosen': -0.6567198038101196, 'nll_loss': 0.28501901030540466, 'log_odds_ratio': -0.27324292063713074, 'log_odds_chosen': 8.587274551391602, 'epoch': 0.0373943609303717}
Step 300: {'loss': 0.2957, 'grad_norm': 10.839029312133789, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.0020388627890497446, 'rewards/rejected': -0.068550243973732, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 0.06651138514280319, 'logps/rejected': -6.8550238609313965, 'logps/chosen': -0.20388630032539368, 'logits/rejected': -0.8133401274681091, 'logits/chosen': -0.729423463344574, 'nll_loss': 0.2929544448852539, 'log_odds_ratio': -0.2715625464916229, 'log_odds_chosen': 8.082561492919922, 'epoch': 0.04487323311644604}
Step 350: {'loss': 0.3115, 'grad_norm': 11.977058410644531, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.0021695310715585947, 'rewards/rejected': -0.0698908343911171, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 0.06772130727767944, 'logps/rejected': -6.989083290100098, 'logps/chosen': -0.2169530987739563, 'logits/rejected': -0.9673324823379517, 'logits/chosen': -0.8705163598060608, 'nll_loss': 0.30892956256866455, 'log_odds_ratio': -0.26043248176574707, 'log_odds_chosen': 8.261459350585938, 'epoch': 0.05235210530252038}
Step 400: {'loss': 0.3545, 'grad_norm': 17.422054290771484, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.0025889503303915262, 'rewards/rejected': -0.066453717648983, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 0.06386476755142212, 'logps/rejected': -6.64537239074707, 'logps/chosen': -0.25889503955841064, 'logits/rejected': -0.9351949095726013, 'logits/chosen': -0.838142454624176, 'nll_loss': 0.3515874445438385, 'log_odds_ratio': -0.28701716661453247, 'log_odds_chosen': 7.699624061584473, 'epoch': 0.05983097748859472}
Step 450: {'loss': 0.3078, 'grad_norm': 14.60539722442627, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.002243708586320281, 'rewards/rejected': -0.07464118301868439, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 0.07239747792482376, 'logps/rejected': -7.464118480682373, 'logps/chosen': -0.22437086701393127, 'logits/rejected': -0.8127984404563904, 'logits/chosen': -0.7247982621192932, 'nll_loss': 0.3052990138530731, 'log_odds_ratio': -0.25382357835769653, 'log_odds_chosen': 8.642046928405762, 'epoch': 0.06730984967466906}
Step 500: {'loss': 0.3442, 'grad_norm': 15.202482223510742, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.0025518324691802263, 'rewards/rejected': -0.0736103281378746, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 0.071058489382267, 'logps/rejected': -7.361032485961914, 'logps/chosen': -0.25518327951431274, 'logits/rejected': -0.8448736667633057, 'logits/chosen': -0.7341647148132324, 'nll_loss': 0.34145650267601013, 'log_odds_ratio': -0.2725485563278198, 'log_odds_chosen': 8.38882827758789, 'epoch': 0.0747887218607434}
Step 550: {'loss': 0.3204, 'grad_norm': 15.8082857131958, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.0022623545955866575, 'rewards/rejected': -0.0736062228679657, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 0.07134386897087097, 'logps/rejected': -7.360621929168701, 'logps/chosen': -0.22623546421527863, 'logits/rejected': -0.9073911309242249, 'logits/chosen': -0.7842889428138733, 'nll_loss': 0.3177855610847473, 'log_odds_ratio': -0.26579749584198, 'log_odds_chosen': 8.530450820922852, 'epoch': 0.08226759404681774}
