Step 50: {'loss': 0.7269, 'grad_norm': 20.571086883544922, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.3341815173625946, 'rewards/rejected': -7.527733325958252, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.193551540374756, 'logps/rejected': -8.36414909362793, 'logps/chosen': -0.37131282687187195, 'logits/rejected': -0.17842693626880646, 'logits/chosen': 0.04058251529932022, 'nll_loss': 0.4763014614582062, 'log_odds_ratio': -0.2784910798072815, 'log_odds_chosen': 9.185879707336426, 'epoch': 0.007479012022511826}
Step 100: {'loss': 0.7299, 'grad_norm': 24.223793029785156, 'learning_rate': 9.682804674457429e-05, 'rewards/chosen': -0.32830774784088135, 'rewards/rejected': -7.532058238983154, 'rewards/accuracies': 0.625, 'rewards/margins': 7.203750133514404, 'logps/rejected': -8.368952751159668, 'logps/chosen': -0.36478638648986816, 'logits/rejected': -0.40435680747032166, 'logits/chosen': -0.25168102979660034, 'nll_loss': 0.4833502173423767, 'log_odds_ratio': -0.27395790815353394, 'log_odds_chosen': 9.168983459472656, 'epoch': 0.014958024045023652}
Step 150: {'loss': 0.7278, 'grad_norm': 43.22412872314453, 'learning_rate': 9.515859766277128e-05, 'rewards/chosen': -0.3001692593097687, 'rewards/rejected': -7.333023548126221, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 7.032854080200195, 'logps/rejected': -8.147804260253906, 'logps/chosen': -0.33352142572402954, 'logits/rejected': -0.5657519102096558, 'logits/chosen': -0.408613383769989, 'nll_loss': 0.46413353085517883, 'log_odds_ratio': -0.2929269075393677, 'log_odds_chosen': 8.921863555908203, 'epoch': 0.022437036067535478}
Step 200: {'loss': 0.7186, 'grad_norm': 21.743940353393555, 'learning_rate': 9.348914858096829e-05, 'rewards/chosen': -0.31607747077941895, 'rewards/rejected': -7.60598087310791, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 7.28990364074707, 'logps/rejected': -8.451089859008789, 'logps/chosen': -0.351197212934494, 'logits/rejected': -0.49012184143066406, 'logits/chosen': -0.33847248554229736, 'nll_loss': 0.48805785179138184, 'log_odds_ratio': -0.2561921179294586, 'log_odds_chosen': 9.274402618408203, 'epoch': 0.029916048090047304}
Step 250: {'loss': 0.7371, 'grad_norm': 18.252487182617188, 'learning_rate': 9.181969949916528e-05, 'rewards/chosen': -0.32800301909446716, 'rewards/rejected': -7.663318634033203, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 7.335314750671387, 'logps/rejected': -8.514798164367676, 'logps/chosen': -0.36444777250289917, 'logits/rejected': -0.4094180166721344, 'logits/chosen': -0.23482175171375275, 'nll_loss': 0.48551979660987854, 'log_odds_ratio': -0.2794892489910126, 'log_odds_chosen': 9.219053268432617, 'epoch': 0.03739506011255913}
Step 300: {'loss': 0.7478, 'grad_norm': 19.571229934692383, 'learning_rate': 9.015025041736227e-05, 'rewards/chosen': -0.3291057348251343, 'rewards/rejected': -6.513966083526611, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 6.184860706329346, 'logps/rejected': -7.237740516662598, 'logps/chosen': -0.3656730651855469, 'logits/rejected': -0.4651554822921753, 'logits/chosen': -0.3128949999809265, 'nll_loss': 0.4946826994419098, 'log_odds_ratio': -0.2812889814376831, 'log_odds_chosen': 7.959622383117676, 'epoch': 0.044874072135070955}
Step 350: {'loss': 0.764, 'grad_norm': 22.569320678710938, 'learning_rate': 8.848080133555928e-05, 'rewards/chosen': -0.3466140627861023, 'rewards/rejected': -7.283050537109375, 'rewards/accuracies': 0.6324999928474426, 'rewards/margins': 6.936436176300049, 'logps/rejected': -8.092279434204102, 'logps/chosen': -0.3851267695426941, 'logits/rejected': -0.5750988721847534, 'logits/chosen': -0.39539429545402527, 'nll_loss': 0.5244789719581604, 'log_odds_ratio': -0.26615098118782043, 'log_odds_chosen': 8.858626365661621, 'epoch': 0.05235308415758278}
Step 400: {'loss': 0.8318, 'grad_norm': 31.355728149414062, 'learning_rate': 8.681135225375627e-05, 'rewards/chosen': -0.3897373080253601, 'rewards/rejected': -7.427913665771484, 'rewards/accuracies': 0.5950000286102295, 'rewards/margins': 7.038177013397217, 'logps/rejected': -8.2532377243042, 'logps/chosen': -0.43304145336151123, 'logits/rejected': -0.6010879278182983, 'logits/chosen': -0.39352020621299744, 'nll_loss': 0.5693678855895996, 'log_odds_ratio': -0.2916105091571808, 'log_odds_chosen': 8.830212593078613, 'epoch': 0.05983209618009461}
Step 450: {'loss': 0.751, 'grad_norm': 20.851001739501953, 'learning_rate': 8.514190317195326e-05, 'rewards/chosen': -0.35281017422676086, 'rewards/rejected': -8.0678129196167, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 7.715002059936523, 'logps/rejected': -8.96423625946045, 'logps/chosen': -0.3920113444328308, 'logits/rejected': -0.49275147914886475, 'logits/chosen': -0.2768528461456299, 'nll_loss': 0.5169764757156372, 'log_odds_ratio': -0.2599871754646301, 'log_odds_chosen': 9.648159980773926, 'epoch': 0.06731110820260644}
Step 500: {'loss': 0.82, 'grad_norm': 22.379934310913086, 'learning_rate': 8.347245409015025e-05, 'rewards/chosen': -0.3922155797481537, 'rewards/rejected': -7.939835071563721, 'rewards/accuracies': 0.6150000095367432, 'rewards/margins': 7.547619819641113, 'logps/rejected': -8.822039604187012, 'logps/chosen': -0.4357950687408447, 'logits/rejected': -0.4553471505641937, 'logits/chosen': -0.22306843101978302, 'nll_loss': 0.5693674087524414, 'log_odds_ratio': -0.2785322368144989, 'log_odds_chosen': 9.335709571838379, 'epoch': 0.07479012022511826}
Step 550: {'loss': 0.7758, 'grad_norm': 23.47274398803711, 'learning_rate': 8.180300500834724e-05, 'rewards/chosen': -0.3521251380443573, 'rewards/rejected': -7.525039196014404, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 7.172914028167725, 'logps/rejected': -8.361154556274414, 'logps/chosen': -0.3912501931190491, 'logits/rejected': -0.46876060962677, 'logits/chosen': -0.2585628628730774, 'nll_loss': 0.5279302597045898, 'log_odds_ratio': -0.2754201591014862, 'log_odds_chosen': 9.055231094360352, 'epoch': 0.08226913224763009}
Step 600: {'loss': 0.825, 'grad_norm': 23.0584774017334, 'learning_rate': 8.013355592654425e-05, 'rewards/chosen': -0.3954227566719055, 'rewards/rejected': -7.251096248626709, 'rewards/accuracies': 0.6299999952316284, 'rewards/margins': 6.855673789978027, 'logps/rejected': -8.056774139404297, 'logps/chosen': -0.43935859203338623, 'logits/rejected': -0.5034438967704773, 'logits/chosen': -0.2888484001159668, 'nll_loss': 0.578951895236969, 'log_odds_ratio': -0.2733994126319885, 'log_odds_chosen': 8.661515235900879, 'epoch': 0.08974814427014191}
Step 650: {'loss': 0.834, 'grad_norm': 28.509197235107422, 'learning_rate': 7.846410684474124e-05, 'rewards/chosen': -0.3792891800403595, 'rewards/rejected': -7.175734996795654, 'rewards/accuracies': 0.5799999833106995, 'rewards/margins': 6.796445369720459, 'logps/rejected': -7.9730377197265625, 'logps/chosen': -0.42143240571022034, 'logits/rejected': -0.5349313020706177, 'logits/chosen': -0.3047676682472229, 'nll_loss': 0.5599958300590515, 'log_odds_ratio': -0.304411381483078, 'log_odds_chosen': 8.50641918182373, 'epoch': 0.09722715629265374}
Step 700: {'loss': 0.8049, 'grad_norm': 20.27350616455078, 'learning_rate': 7.679465776293824e-05, 'rewards/chosen': -0.3662971258163452, 'rewards/rejected': -7.9983439445495605, 'rewards/accuracies': 0.6349999904632568, 'rewards/margins': 7.632047176361084, 'logps/rejected': -8.887048721313477, 'logps/chosen': -0.40699684619903564, 'logits/rejected': -0.5170148015022278, 'logits/chosen': -0.28280308842658997, 'nll_loss': 0.5624353885650635, 'log_odds_ratio': -0.26937592029571533, 'log_odds_chosen': 9.537642478942871, 'epoch': 0.10470616831516556}
Step 750: {'loss': 0.8509, 'grad_norm': 22.896339416503906, 'learning_rate': 7.512520868113523e-05, 'rewards/chosen': -0.3938072919845581, 'rewards/rejected': -7.534694671630859, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 7.140887260437012, 'logps/rejected': -8.371883392333984, 'logps/chosen': -0.4375637471675873, 'logits/rejected': -0.4208718240261078, 'logits/chosen': -0.21422216296195984, 'nll_loss': 0.5886214971542358, 'log_odds_ratio': -0.2914174497127533, 'log_odds_chosen': 8.927375793457031, 'epoch': 0.1121851803376774}
Step 800: {'loss': 0.8493, 'grad_norm': 76.8818588256836, 'learning_rate': 7.345575959933221e-05, 'rewards/chosen': -0.40907642245292664, 'rewards/rejected': -7.272648334503174, 'rewards/accuracies': 0.625, 'rewards/margins': 6.863572597503662, 'logps/rejected': -8.080719947814941, 'logps/chosen': -0.454529345035553, 'logits/rejected': -0.49598538875579834, 'logits/chosen': -0.3011223077774048, 'nll_loss': 0.6027499437332153, 'log_odds_ratio': -0.27398788928985596, 'log_odds_chosen': 8.574322700500488, 'epoch': 0.11966419236018921}
